id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,98356.0,1946371375932,1,2065317119477,81256252438,101235.0,98376.0,-932.4492094524758,-0.93913,-18792962353.568604,-0.9563,19790568.0,21000000.0,21000000.0,103679.0,-5.09321,2024-12-05T03:10:51.885Z,67.81,145010.91792,2013-07-06T00:00:00.000Z,,2024-12-09T10:25:31.455Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3873.63,466713106510,2,466713106510,27775408171,4015.78,3855.78,-79.696474164748,-2.01594,-9465665383.53833,-1.98784,120445200.6638962,120445200.6638962,,4878.26,-20.49525,2021-11-10T14:24:19.604Z,0.432979,895659.43567,2015-10-20T00:00:00.000Z,"{'times': 51.636998472235234, 'currency': 'btc', 'percentage': 5163.699847223524}",2024-12-09T10:25:28.065Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999712,137964781541,3,137964781541,78672222618,1.005,0.997978,-0.000482470066904606,-0.04824,21573732.0,0.01564,138064756646.8421,138064756646.8421,,1.32,-24.45992,2018-07-24T00:00:00.000Z,0.572521,74.57303,2015-03-02T00:00:00.000Z,,2024-12-09T10:25:31.482Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.4,137166602012,4,240117798833,11799671149,2.63,2.36,-0.11509294419690885,-4.5733,-6658715705.706863,-4.62972,57117231849.0,99986904872.0,100000000000.0,3.4,-29.16105,2018-01-07T00:00:00.000Z,0.00268621,89521.7843,2014-05-22T00:00:00.000Z,,2024-12-09T10:25:31.369Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,226.86,108109465749,5,133932764260,5209899084,237.7,225.74,-7.646651942538767,-3.26069,-3587358870.7214813,-3.21169,476117757.4304628,589844440.7604145,,263.21,-13.71292,2024-11-23T15:05:59.896Z,0.500801,45250.09521,2020-05-11T19:35:23.449Z,,2024-12-09T10:25:32.908Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,716.4,104595748963,6,104595748963,1704844485,745.38,709.08,-18.016801805092655,-2.4532,-2548402664.814575,-2.37848,145887575.79,145887575.79,200000000.0,788.84,-9.04739,2024-12-04T10:35:25.220Z,0.0398177,1801796.85568,2017-10-19T00:00:00.000Z,,2024-12-09T10:25:30.745Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.433106,63756143133,7,63767091247,8590487079,0.467057,0.429786,-0.017942794894160508,-3.97802,-2605509653.6550827,-3.92623,147101146383.7052,147126406383.7052,,0.731578,-40.66663,2021-05-08T05:08:23.458Z,8.69e-05,499383.53695,2015-05-06T00:00:00.000Z,,2024-12-09T10:25:26.291Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999642,40854402472,8,40858746266,9990882711,1.004,0.996464,2.314e-05,0.00231,-232774381.16394806,-0.56654,40868031585.4033,40872376827.98563,,1.17,-14.75585,2019-05-08T00:40:28.300Z,0.877647,13.90272,2023-03-11T08:02:13.981Z,,2024-12-09T10:25:29.797Z
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,1.12,40232286077,9,50561317252,2038113160,1.22,1.11,-0.06645346612706304,-5.58478,-2387052981.91848,-5.60087,35807074892.03313,45000000000.0,45000000000.0,3.09,-63.55411,2021-09-02T06:00:10.474Z,0.01925275,5743.59283,2020-03-13T02:22:55.044Z,,2024-12-09T10:25:32.777Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3868.69,38070805541,10,38070805541,124569939,4013.76,3852.37,-82.40496988819768,-2.08563,-779430229.3436127,-2.00624,9839601.191849949,9839601.191849949,,4829.57,-19.85226,2021-11-10T14:40:47.256Z,482.9,701.57842,2020-12-22T04:08:21.854Z,,2024-12-09T10:25:29.010Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.296566,25590265538,11,25590307839,1859062577,0.320017,0.293432,-0.012679396311797595,-4.10011,-1094087190.4725952,-4.10011,86267827485.2264,86267970087.03117,,0.431288,-31.20884,2024-12-04T00:10:40.323Z,0.00180434,16343.0214,2017-11-12T00:00:00.000Z,"{'times': 155.08748568618037, 'currency': 'usd', 'percentage': 15508.748568618037}",2024-12-09T10:25:31.534Z
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,49.99,20465956635,12,22382520986,989183330,54.26,49.83,-1.052648726279621,-2.06215,-440069375.5387497,-2.10499,409372566.5235968,447708857.4295815,720000000.0,144.96,-65.51577,2021-11-21T14:18:56.538Z,2.8,1684.63446,2020-12-31T13:15:21.540Z,,2024-12-09T10:25:30.206Z
