id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,change_direction
frax-ether,frxeth,Frax Ether,https://coin-images.coingecko.com/coins/images/28284/large/frxETH_icon.png?1696527284,3992.57,600138664,193,600138664,4940642,4013.99,3842.09,55.92,1.42046,7984725.0,1.34842,150232.6856133089,150232.6856133089,,4084.25,-2.18455,2024-12-06T20:43:31.342Z,1137.25,251.28908,2022-11-23T02:25:33.267Z,,2024-12-09T10:25:33.116Z,+
tether-gold,xaut,Tether Gold,https://coin-images.coingecko.com/coins/images/10481/large/Tether_Gold.png?1696510471,2658.31,655495074,180,655495074,4824971,2664.07,2630.42,18.8,0.71221,4977905.0,0.76522,246524.33,246524.33,,2815.31,-5.56448,2024-10-23T08:16:16.662Z,1447.84,83.62859,2020-03-19T13:45:41.821Z,,2024-12-09T10:25:30.759Z,+
pax-gold,paxg,PAX Gold,https://coin-images.coingecko.com/coins/images/9519/large/paxgold.png?1696509604,2641.24,522953063,212,522953063,17184829,2645.28,2611.33,15.83,0.60284,3479631.0,0.66984,197970.372,197970.372,,2855.83,-7.48806,2024-04-13T21:01:41.334Z,1399.64,88.76176,2019-11-18T03:09:35.959Z,,2024-12-09T10:25:27.974Z,+
ether-fi-staked-btc,ebtc,Ether.fi Staked BTC,https://coin-images.coingecko.com/coins/images/50411/large/eBTC.png?1727664788,98203.0,605149461,190,605149461,2109461,100673.0,96785.0,-259.467554661489,-0.26352,-1633606.0663208961,-0.26922,6162.23920522,6162.23920522,,104610.0,-6.12065,2024-12-05T08:39:41.626Z,58795.0,67.03462,2024-10-10T18:29:41.489Z,,2024-12-09T10:25:24.164Z,-
ether-fi-staked-eth,eeth,ether.fi Staked ETH,https://coin-images.coingecko.com/coins/images/33049/large/ether.fi_eETH.png?1700473063,3869.23,1115111541,128,8416492644,111244,4005.85,3847.04,-21.791787631140323,-0.56005,-10493159.720442295,-0.93222,288205.89439564,2175282.652229266,,5307.23,-27.48602,2024-08-06T16:16:30.007Z,2155.76,78.52123,2024-02-08T11:26:30.368Z,,2024-12-09T10:25:23.236Z,-
lombard-staked-btc,lbtc,Lombard Staked BTC,https://coin-images.coingecko.com/coins/images/39969/large/LBTC_Logo.png?1724959872,98565.0,1204564478,124,1204564478,8534748,101214.0,98191.0,-576.8129470360873,-0.5818,19675934.0,1.66057,12221.2397056,12221.2397056,,103490.0,-4.95028,2024-12-05T15:10:30.805Z,52119.0,88.73415,2024-09-06T21:01:52.094Z,,2024-12-09T10:25:25.545Z,-
bitcoin-avalanche-bridged-btc-b,btc.b,Avalanche Bridged BTC (Avalanche),https://coin-images.coingecko.com/coins/images/26115/large/btcb.png?1696525205,98438.0,541480003,209,541480003,50751297,101073.0,98214.0,-666.0667859109963,-0.67209,-1028744.2459449768,-0.18963,5500.74600791,5500.74600791,,103613.0,-4.99691,2024-12-05T15:01:03.762Z,7806.11,1161.00669,2023-03-03T05:01:42.603Z,,2024-12-09T10:25:31.669Z,-
solv-btc,solvbtc,Solv Protocol SolvBTC,https://coin-images.coingecko.com/coins/images/36800/large/solvBTC.png?1719810684,98318.0,1477777949,102,1486972151,11020547,100831.0,97697.0,-670.199129963672,-0.67705,-22808852.142151594,-1.52,15051.50962991948,15145.15470089532,21000000.0,103237.0,-4.65335,2024-12-05T04:15:57.879Z,49058.0,100.64673,2024-08-05T06:28:45.311Z,,2024-12-09T10:25:29.181Z,-
arbitrum-bridged-wbtc-arbitrum-one,wbtc,Arbitrum Bridged WBTC (Arbitrum One),https://coin-images.coingecko.com/coins/images/39532/large/wbtc.png?1722810336,98095.0,905843765,150,905843765,116795185,100683.0,97932.0,-749.5525799031748,-0.75831,-7594321.085342288,-0.8314,9234.50447339,9234.50447339,,103113.0,-4.93317,2024-12-05T14:56:09.744Z,49594.0,97.6573,2024-08-05T13:30:13.831Z,,2024-12-09T10:25:29.183Z,-
tbtc,tbtc,tBTC,https://coin-images.coingecko.com/coins/images/11224/large/0x18084fba666a33d37592fa2633fd49a74dd93a88.png?1696511155,98171.0,487096212,229,487096212,6709715,100695.0,98213.0,-856.0488574597985,-0.86446,-7053593.871834695,-1.42742,4958.66368416,4958.66368416,,103606.0,-5.23179,2024-12-05T08:25:55.230Z,10104.3,871.71639,2020-09-23T00:00:00.000Z,,2024-12-09T10:25:33.083Z,-
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,197.32,3637671658,51,3637671658,141980451,226.07,194.74,-1.8125565869675313,-0.91024,-35842505.3692112,-0.9757,18446744.07370955,18446744.07370955,,542.33,-63.54237,2018-01-09T00:00:00.000Z,0.216177,91361.77963,2015-01-14T00:00:00.000Z,,2024-12-09T10:25:26.935Z,-
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,98356.0,1946371375932,1,2065317119477,81256252438,101235.0,98376.0,-932.4492094524758,-0.93913,-18792962353.568604,-0.9563,19790568.0,21000000.0,21000000.0,103679.0,-5.09321,2024-12-05T03:10:51.885Z,67.81,145010.91792,2013-07-06T00:00:00.000Z,,2024-12-09T10:25:31.455Z,-
solv-protocol-solvbtc-bbn,solvbtc.bbn,Solv Protocol SolvBTC.BBN,https://coin-images.coingecko.com/coins/images/39384/large/unnamed.png?1721961640,97639.0,1019791811,137,1019791811,2091527,100509.0,97432.0,-1001.5270556568721,-1.01533,-10666768.048388481,-1.03515,10450.90322778823,10450.90322778823,21000000.0,102879.0,-4.81932,2024-12-05T15:06:09.293Z,11402.13,758.79724,2024-09-10T17:58:43.974Z,,2024-12-09T10:25:28.743Z,-
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,https://coin-images.coingecko.com/coins/images/40143/large/cbbtc.webp?1726136727,98313.0,2069683826,76,2069683826,337728716,101035.0,98438.0,-1028.0110280360386,-1.03483,-50894335.09431434,-2.40002,21041.01151845,21041.01151845,,103678.0,-5.07297,2024-12-05T04:05:58.767Z,57439.0,71.34546,2024-09-12T14:07:41.775Z,,2024-12-09T10:25:32.243Z,-
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,98031.0,13385685596,19,13385685596,390102824,100936.0,98097.0,-1041.5547556841775,-1.0513,-141163737.77211,-1.04358,136473.60508145,136473.60508145,136473.60508145,103421.0,-5.12484,2024-12-05T04:05:27.387Z,3139.17,3025.67933,2019-04-02T00:00:00.000Z,,2024-12-09T10:25:33.294Z,-
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,602.2,11930180930,20,12653467904,754821176,624.79,596.9,-7.6154468734282545,-1.24881,-149906497.7829399,-1.24094,19799615.52165078,21000000.0,21000000.0,3785.82,-84.05027,2017-12-20T00:00:00.000Z,76.93,684.85666,2018-12-16T00:00:00.000Z,,2024-12-09T10:25:31.762Z,-
sweth,sweth,Swell Ethereum,https://coin-images.coingecko.com/coins/images/30326/large/_lB7zEtS_400x400.jpg?1696529227,4171.32,506077901,221,506092010,3215798,4315.79,4146.16,-68.27766527968743,-1.61047,-8283657.721704662,-1.61047,121323.095741077,121326.478319651,,4393.57,-5.05841,2024-12-06T20:20:53.438Z,1535.26,171.70169,2023-10-12T17:25:37.017Z,,2024-12-09T10:25:29.419Z,-
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,https://coin-images.coingecko.com/coins/images/33800/large/Icon___Dark.png?1702991855,3999.74,1594772803,95,1594772803,4708044,4139.01,3974.12,-69.39114306071906,-1.70531,-54550461.80204773,-3.30745,398629.7445078112,398629.7445078112,,4216.2,-5.72835,2024-12-06T20:31:16.142Z,2069.62,92.04858,2024-01-23T14:25:53.609Z,,2024-12-09T10:25:24.812Z,-
l2-standard-bridged-weth-base,weth,L2 Standard Bridged WETH (Base),https://coin-images.coingecko.com/coins/images/39810/large/weth.png?1724139790,3880.3,898973452,153,898973452,843644544,4013.96,3849.73,-68.5445124700791,-1.73581,-4677222.967020988,-0.51759,231680.3147005671,231680.3147005671,,4096.05,-5.35387,2024-12-06T20:26:07.826Z,2160.5,79.43757,2024-09-06T21:02:32.860Z,,2024-12-09T10:25:30.278Z,-
renzo-restaked-eth,ezeth,Renzo Restaked ETH,https://coin-images.coingecko.com/coins/images/34753/large/Ezeth_logo_circle.png?1713496404,3989.44,1572329506,98,1572534425,7130865,4131.99,3962.66,-73.09126372451328,-1.79915,-39903800.64224291,-2.47506,394141.3841267619,394192.7518749178,,4207.05,-5.18838,2024-12-06T20:30:39.115Z,2198.04,81.46942,2024-01-26T08:09:59.848Z,,2024-12-09T10:25:29.038Z,-
l2-standard-bridged-weth-blast,weth,L2 Standard Bridged WETH (Blast),https://coin-images.coingecko.com/coins/images/39727/large/weth.png?1723758119,3882.71,457598863,243,457598863,1964111,4014.04,3856.1,-71.81298305626115,-1.81597,-15382147.829256177,-3.25217,117794.296740604,117794.296740604,,4087.83,-5.26948,2024-12-06T20:32:27.294Z,2167.33,78.67235,2024-09-06T21:14:57.012Z,,2024-12-09T10:25:34.199Z,-
polygon-pos-bridged-weth-polygon-pos,weth,Polygon PoS Bridged WETH (Polygon POS),https://coin-images.coingecko.com/coins/images/39708/large/WETH.PNG?1723730343,3883.43,562361871,206,562361871,43963667,4011.61,3856.6,-72.86426219360965,-1.84173,-9527147.898638964,-1.66591,144812.1076521059,144812.1076521059,,4089.71,-5.12525,2024-12-06T20:27:17.244Z,2162.83,79.39945,2024-09-06T21:06:18.843Z,,2024-12-09T10:25:28.537Z,-
arbitrum-bridged-weth-arbitrum-one,weth,Arbitrum Bridged WETH (Arbitrum One),https://coin-images.coingecko.com/coins/images/39713/large/WETH.PNG?1723731496,3876.1,847442981,157,847442981,336286588,4015.66,3851.07,-73.23459077524649,-1.85435,-6025751.4802411795,-0.70603,218519.312551043,218519.312551043,,4097.16,-5.34746,2024-12-06T20:22:25.030Z,2161.12,79.44684,2024-09-06T21:04:39.238Z,,2024-12-09T10:25:32.670Z,-
staked-frax-ether,sfrxeth,Staked Frax Ether,https://coin-images.coingecko.com/coins/images/28285/large/sfrxETH_icon.png?1696527285,4287.26,440908297,248,440908297,158434,4447.66,4258.98,-81.48758382668439,-1.86524,-8975315.283761501,-1.99503,102833.7390444066,102833.7390444066,,7545.09,-43.17388,2023-02-16T07:51:36.849Z,1147.58,273.61825,2022-12-23T11:50:57.675Z,,2024-12-09T10:25:28.880Z,-
coinbase-wrapped-staked-eth,cbeth,Coinbase Wrapped Staked ETH,https://coin-images.coingecko.com/coins/images/27008/large/cbeth.png?1709186989,4207.34,706930238,172,1572163042,11896046,4356.22,4185.07,-80.99947561822046,-1.88883,-12153360.568274617,-1.69012,168051.2312980126,373734.0982232124,,4432.76,-5.07879,2024-12-06T20:30:54.658Z,1036.96,305.76662,2022-11-09T23:45:43.665Z,,2024-12-09T10:25:31.563Z,-
weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,3876.57,10601093102,23,10601093102,1088634833,4014.03,3861.18,-75.33229237545311,-1.90623,-165496501.17471313,-1.53713,2733783.329739307,2733783.329739307,,4799.89,-19.12647,2021-11-09T00:00:00.000Z,82.1,4627.99222,2018-12-15T00:00:00.000Z,,2024-12-09T10:25:24.396Z,-
super-oeth,superoethb,Super OETH,https://coin-images.coingecko.com/coins/images/39828/large/Super_OETH.png?1724208268,3879.73,651652850,182,651652850,3906466,4013.71,3857.89,-77.8535912146549,-1.9672,-12746635.08836329,-1.91852,167966.9285807815,167966.9285807815,,4087.61,-5.32359,2024-12-06T20:27:15.825Z,2170.26,78.3194,2024-09-06T21:25:09.839Z,,2024-12-09T10:25:29.254Z,-
rocket-pool-eth,reth,Rocket Pool ETH,https://coin-images.coingecko.com/coins/images/20764/large/reth.png?1696520159,4339.53,1982635468,78,1982635468,3076517,4507.32,4326.51,-88.53581598723758,-1.99942,-42760223.8616178,-2.1112,456897.1205267884,456897.1205267884,,4814.31,-9.86639,2021-12-01T08:03:50.749Z,887.26,389.06687,2022-06-18T20:55:45.957Z,,2024-12-09T10:25:27.788Z,-
