id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,93783.0,1857048106596,1,1971130573771,82512897037.0,94041.0,89752.0,4030.26,4.49041,80562673388.0,4.53495,19784590.0,21000000.0,21000000.0,94041.0,-0.17836,2024-11-19T19:16:16.763Z,67.81,138337.75742,2013-07-06T00:00:00.000Z,,2024-11-19T19:24:33.271Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3136.92,378083373214,2,378083373214,33242350835.0,3213.1,3085.76,21.45,0.68857,697726788.0,0.18488,120425284.396728,120425284.396728,,4878.26,-35.64451,2021-11-10T14:24:19.604Z,0.432979,724976.55688,2015-10-20T00:00:00.000Z,"{'times': 43.70964331794954, 'currency': 'btc', 'percentage': 4370.964331794954}",2024-11-19T19:24:38.806Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.001,128284849142,3,128284849142,87931002978.0,1.01,0.99728,0.00065948,0.06596,885474795.0,0.69504,128151427236.977,128151427236.977,,1.32,-24.33306,2018-07-24T00:00:00.000Z,0.572521,74.86621,2015-03-02T00:00:00.000Z,,2024-11-19T19:24:37.902Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,243.6,115727664036,4,143525334980,8767339263.0,247.15,234.94,8.66,3.68714,4152227101.0,3.72145,474553687.442437,588541015.874259,,259.96,-6.20627,2021-11-06T21:54:35.825Z,0.500801,48587.07938,2020-05-11T19:35:23.449Z,,2024-11-19T19:24:36.200Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,619.1,90395367415,5,90395367415,1453017274.0,624.56,612.29,6.66,1.08761,1001771990.0,1.12063,145887575.79,145887575.79,200000000.0,717.48,-13.65043,2024-06-06T14:10:59.816Z,0.0398177,1555833.47831,2017-10-19T00:00:00.000Z,,2024-11-19T19:24:31.859Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,1.11,62940553659,6,110541027016,6577512109.0,1.14,1.079,0.02034895,1.87572,1074896141.0,1.73747,56931242174.0,99987013354.0,100000000000.0,3.4,-67.51779,2018-01-07T00:00:00.000Z,0.00268621,40994.82059,2014-05-22T00:00:00.000Z,,2024-11-19T19:24:36.390Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.410689,60451091195,7,60452186140,14528506333.0,0.416106,0.365037,0.04485317,12.26047,6436050824.0,11.91529,146856556383.705,146859216383.705,,0.731578,-43.67774,2021-05-08T05:08:23.458Z,8.69e-05,474035.26278,2015-05-06T00:00:00.000Z,,2024-11-19T19:24:37.527Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.99938,37277335323,8,37288542361,7280329652.0,1.005,0.997123,0.00181364,0.18181,70169747.0,0.18859,37283109014.0088,37294317787.8698,,1.17,-14.71991,2019-05-08T00:40:28.300Z,0.877647,13.95074,2023-03-11T08:02:13.981Z,,2024-11-19T19:24:39.659Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3132.94,30697133065,9,30697133065,77062270.0,3212.3,3084.95,17.74,0.56939,212497530.0,0.69706,9786182.44924572,9786182.44924572,,4829.57,-35.03411,2021-11-10T14:40:47.256Z,482.9,549.74072,2020-12-22T04:08:21.854Z,,2024-11-19T19:24:35.102Z
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.747706,26769214990,10,33672369167,1685919408.0,0.761929,0.726147,0.02101291,2.89158,747802601.0,2.8738,35774574357.9933,45000000000.0,45000000000.0,3.09,-75.80121,2021-09-02T06:00:10.474Z,0.01925275,3779.94128,2020-03-13T02:22:55.044Z,,2024-11-19T19:24:33.241Z
