,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,change_direction
87,msol,msol,Marinade Staked SOL,https://coin-images.coingecko.com/coins/images/17752/large/mSOL.png?1696517278,289.15,1249243671,88,1249261879,19917587.0,296.72,262.97,24.92,9.43164,106553284.0,9.32477,4322381.0,4322444.0,4322444.0,296.72,-2.85476,2024-11-17T11:01:03.976Z,8.93,3127.86427,2022-12-29T20:45:33.039Z,,2024-11-17T15:38:14.891Z,+
106,jupiter-staked-sol,jupsol,Jupiter Staked SOL,https://coin-images.coingecko.com/coins/images/37482/large/jupsol.png?1714473916,246.95,943342457,107,943342457,21391283.0,253.51,224.95,21.12,9.3501,78688273.0,9.10055,3822962.00834105,3822962.00834105,,253.51,-2.85293,2024-11-17T11:10:46.139Z,114.32,115.43597,2024-08-05T11:36:21.655Z,,2024-11-17T15:38:11.402Z,+
3,solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,234.36,110493055262,4,137748200891,12609650073.0,240.56,212.97,19.78,9.21734,9209120169.0,9.09238,472004467.053358,588433055.7707,,259.96,-10.16128,2021-11-06T21:54:35.825Z,0.500801,46534.08733,2020-05-11T19:35:23.449Z,,2024-11-17T15:38:20.585Z,+
138,binance-staked-sol,bnsol,Binance Staked SOL,https://coin-images.coingecko.com/coins/images/40132/large/bnsol.png?1725968367,237.38,666613249,139,666613249,9059961.0,243.87,215.94,19.92,9.16249,77843202.0,13.22133,2808366.80845825,2808366.80845825,,243.87,-2.82231,2024-11-17T11:00:38.316Z,127.32,86.13241,2024-09-18T15:30:14.531Z,,2024-11-17T15:38:15.369Z,+
45,monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,151.12,2786462310,46,2786462310,108171585.0,152.04,145.83,4.76,3.25079,83411957.0,3.08585,18446744.0737096,18446744.0737096,,542.33,-72.2007,2018-01-09T00:00:00.000Z,0.216177,69640.50634,2015-01-14T00:00:00.000Z,,2024-11-17T15:38:14.565Z,+
184,ether-fi-staked-btc,ebtc,Ether.fi Staked BTC,https://coin-images.coingecko.com/coins/images/50411/large/eBTC.png?1727664788,89569.0,467176182,185,467176182,424693.0,91219.0,86461.0,514.37,0.57759,2689343.0,0.57899,5218.33700911,5218.33700911,,93130.0,-3.98321,2024-11-13T18:55:46.571Z,58795.0,52.08948,2024-10-10T18:29:41.489Z,,2024-11-17T15:38:19.502Z,+
4,binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,625.22,91195612516,5,91195612516,1868984275.0,645.77,607.27,2.39,0.38376,72869933.0,0.07997,145887575.79,145887575.79,200000000.0,717.48,-12.90176,2024-06-06T14:10:59.816Z,0.0398177,1569323.68873,2017-10-19T00:00:00.000Z,,2024-11-17T15:38:16.880Z,+
102,lombard-staked-btc,lbtc,Lombard Staked BTC,https://coin-images.coingecko.com/coins/images/39969/large/LBTC_Logo.png?1724959872,90424.0,985008052,103,985008052,1456207.0,91219.0,88797.0,291.34,0.32324,2610233.0,0.2657,10898.00192087,10898.00192087,,93317.0,-3.11947,2024-11-13T16:15:37.014Z,52119.0,73.45985,2024-09-06T21:01:52.094Z,,2024-11-17T15:38:12.640Z,+
201,quantixai,qai,QuantixAI,https://coin-images.coingecko.com/coins/images/36166/large/200px_Qai.png?1726228972,98.7,409594584,202,986974901,5341001.0,99.52,97.58,0.273261,0.27764,328605.0,0.08029,4150000.0,10000000.0,10000000.0,105.74,-6.80295,2024-11-11T15:35:52.890Z,0.228366,43053.4483,2024-03-19T10:08:23.098Z,,2024-11-17T15:38:18.112Z,+
147,tether-gold,xaut,Tether Gold,https://coin-images.coingecko.com/coins/images/10481/large/Tether_Gold.png?1696510471,2567.01,632676385,149,632676385,3365254.0,2573.23,2555.59,6.61,0.25802,864626.0,0.13685,246524.33,246524.33,,2815.31,-8.88225,2024-10-23T08:16:16.662Z,1447.84,77.17722,2020-03-19T13:45:41.821Z,,2024-11-17T15:38:22.209Z,+
