id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,90190.0,1784298159357,1,1894012533175,47781833544.0,91439.0,89507.0,-76.06399711982522,-0.08427,-3811698463.5180664,-0.21317,19783534.0,21000000.0,21000000.0,93477.0,-3.45695,2024-11-13T16:15:35.520Z,67.81,132988.01989,2013-07-06T00:00:00.000Z,,2024-11-17T16:08:54.635Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3080.4,371149015648,2,371149015648,26237976328.0,3182.3,3048.58,-51.38936621454741,-1.6409,-6544540567.656128,-1.73276,120422508.5519,120422508.5519,,4878.26,-36.76077,2021-11-10T14:24:19.604Z,0.432979,712400.03607,2015-10-20T00:00:00.000Z,"{'times': 44.64823605633538, 'currency': 'btc', 'percentage': 4464.823605633537}",2024-11-17T16:08:58.784Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999351,127343161174,3,127343161174,94192686175.0,1.003,0.997494,-0.000285478237258885,-0.02856,-145585637.08592224,-0.11419,127537303558.548,127537303558.548,,1.32,-24.45259,2018-07-24T00:00:00.000Z,0.572521,74.58996,2015-03-02T00:00:00.000Z,,2024-11-17T16:08:54.670Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,233.45,110292135439,4,137498130144,12528342026.0,240.56,212.97,19.39,9.05597,9130040083.0,9.02516,472002777.80242,588432702.950457,,259.96,-9.93697,2021-11-06T21:54:35.825Z,0.500801,46650.52297,2020-05-11T19:35:23.449Z,,2024-11-17T16:09:02.434Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,623.42,90959394321,5,90959394321,1785779482.0,645.77,607.27,1.64,0.2632,134062761.0,0.14761,145887575.79,145887575.79,200000000.0,717.48,-13.00111,2024-06-06T14:10:59.816Z,0.0398177,1567533.63002,2017-10-19T00:00:00.000Z,,2024-11-17T16:08:54.444Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,1.081,61512271597,6,108032568530,17224874179.0,1.2,1.014,-0.015900813260889324,-1.4499,-1346051238.3634567,-2.1414,56931242174.0,99987013354.0,100000000000.0,3.4,-68.17249,2018-01-07T00:00:00.000Z,0.00268621,40166.52405,2014-05-22T00:00:00.000Z,,2024-11-17T16:08:52.063Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.363132,53271638344,7,53271638344,9295631564.0,0.374166,0.345428,-0.001171412932610028,-0.32155,-360648890.2750015,-0.67245,146830416383.705,146830416383.705,,0.731578,-50.28976,2021-05-08T05:08:23.458Z,8.69e-05,418373.52654,2015-05-06T00:00:00.000Z,,2024-11-17T16:08:56.652Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999615,37124421077,8,37130966395,6410791435.0,1.002,0.997699,0.000237,0.02371,33289756.0,0.08975,37168673435.1989,37175226555.0982,,1.17,-14.77298,2019-05-08T00:40:28.300Z,0.877647,13.87982,2023-03-11T08:02:13.981Z,,2024-11-17T16:08:55.518Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3080.58,30118982323,9,30118982323,106092668.0,3179.64,3039.81,-47.834412862019235,-1.52903,-533881894.29636765,-1.7417,9786557.4608599,9786557.4608599,,4829.57,-36.14075,2021-11-10T14:40:47.256Z,482.9,538.673,2020-12-22T04:08:21.854Z,,2024-11-17T16:08:52.089Z
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.726789,26000584564,10,32705526939,2828975133.0,0.769596,0.698124,-0.018726605012414414,-2.5119,-701862537.5410728,-2.62846,35774574357.9933,45000000000.0,45000000000.0,3.09,-76.52241,2021-09-02T06:00:10.474Z,0.01925275,3664.30583,2020-03-13T02:22:55.044Z,,2024-11-17T16:08:59.273Z
